brand_name,product_name,price_usd,product_description,ingredients,approval_rating,review_count
AXIS - Y,AXIS - Y - Dark Spot Correcting Glow Serum Mini,US$ 3.14,"Boasting a cruelty-free and vegan-friendly formulation free from artificial colorants, mineral oils, fragrances and parabens, this serum refreshes and nourishes skin with extracts from calendula, papaya and sea buckthorn, while also offering brightening effects with rice bran extract.","Water, Glycerin, Niacinamide, Sodium Hyaluronate, Propanediol, Erythritol, Butylene Glycol, Squalane, Oryza Sativa (Rice) Bran Extract, Calendula Officinalis Flower Extract, Carica Papaya (Papaya) Fruit Extract, Hippophae Rhamnoides Fruit Extract, Malpighia Emarginata(Acerola)Fruit Extract, Polyglyceryl-10 Laurate, Chlorphenesin, Arginine, Ethylhexylglycerin, Carbomer, Glutathione, 1,2-Hexanediol, Hydroxypropyl Cyclodextrin, Disodium EDTA, Hydroxyethylcellulose, Allantoin, Rosmarinus Officinalis (Rosemary) Leaf Oil",95.30%,423
JUMISO,JUMISO - All Day Vitamin Brightening & Balancing Facial Serum,US$ 19.20,"An upgraded formula of the much-loved Drop The Vita C Facial Serum, this version boasts a lightweight and non-sticky texture that permeates quickly into skin. Enriched with extracts from vitamin tree and cica to soothe skin, hyaluronic acid to moisturize, and chamomile extract to control sebum production. Suitable for all skin types.","Water, Methylpropanediol, Butylene Glycol, Glycerin, Niacinamide(2%), 1,2-Hexanediol, Hippophae Rhamnoides Fruit Extract, Dipropylene Glycol, Peg-40 Hydrogenated Castor Oil, Arginine, Carbomer, Chlorphenesin, Caprylyl Glycol, Disodium Edta, Hydroxyacetophenone, Pentylene Glycol, Aronia Melanocarpa Fruit Extract, 3-O-Ethyl Ascorbic Acid(100Ppm), Betaine, Panthenol, Sodium Hyaluronate, Pelargonium Graveolens Flower Oil, Citronellol, Geraniol, Camellia Sinensis Leaf Extract, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, Polygonum Cuspidatum Root Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Scutellaria Baicalensis Root Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Cananga Odorata Flower Oil, Cymbopogon Martini Oil, Rosa Damascena Flower Oil",95.50%,"1,643"
Anua,Anua - PDRN Hyaluronic Acid Capsule 100 Serum,US$ 19.20,"Boost the skin’s moisture barrier and firmness with this hydrating serum containing PDRN, collagen and 11 kinds of hyaluronic acid. Formulated in Anua’s low-molecular Smart Capsule, the serum enhances absorption of active ingredients into skin. Suitable for all skin types including sensitive and acne-prone skin.","Water, Butylene Glycol, Propanediol, Glycerin, Hydrolyzed Hyaluronic Acid (29,049ppm), 1,2-Hexanediol, Niacinamide, Glyceryl Oleate, Lauryl Glucoside, Myristyl Glucoside, Polyglyceryl-6 Laurate, Hydrogenated Lecithin, Glutathione, Hydrolyzed Collagen, Sodium Hyaluronate (800ppm), Coptis Japonica Root Extract, Adenosine, Sodium DNA(100ppm), Hyaluronic Acid (30ppm), Hydrolyzed Sodium Hyaluronate (30ppm), Hydroxypropyltrimonium Hyaluronate (30ppm), Potassium Hyaluronate (30ppm), Sodium Hyaluronate Crosspolymer (30ppm), Sodium Acetylated Hyaluronate (1ppm), Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Ocimum Sanctum Leaf Extract, Citric Acid, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Sodium Citrate, Pentylene Glycol",95.70%,33
"Dear, Klairs","Dear, Klairs - Freshly Juiced Vitamin Drop",US$ 16.10,"Containing 5% Vitamin C, this serum is gentle enough for sensitive skin that needs anti-aging protection and brightening.","Water, Propylen Glycol, Ascorbic Acid, Hydroxyethylcellulose, Centella Asiatica Extract, Citrus Junos Fruit Extract, Illicium Verum(Anise) Fruit Extract, Citrus Paradisi(Grapefruit) Fruit Extract, Nelumbium Speciosum Flower Extract, Paeonia Suffruticosa Root Extract, Scutellaria Baicalensis Root Extract, Polysorbate 60, Brassica Oleracea Italica (Broccoli) Extract, Chaenomeles Sinensis Fruit Extract, Citrus Aurantium Dulcis (Orange) Oil, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Disodium EDTA, Lavandula Angustifolia (Lavender) Oil, Camellia Sinensis Callus Culture Extract, Larix Europaea Wood Extract, Chrysanthellum Indicum Extract, Rheum Palmatum Root Extract, Asarum Sieboldi Root Extract, Quercus Mongolia Leaf Extract, Persicaria Hydropiper Extract, Corydalis Turtschaninovii Root Extract, Coptis Chinensis Root Extract, Magnolia Obovata Bark Extract, Lysine HCL, Proline, Sodium Ascorbyl Phosphate, Acetyl Methionine, Theanine, Lecithin, Acetyl Glutamine, SH-Olgopeptide-1, SH-Olgopeptide-2, SH-Polypeptide-1, SH-Polypeptide-9, SH-Polypeptide-11, Bacillus/Soybean/Folic Acid Ferment Extract, Sodium Hyaluronate, Caprylyl Glycol, Butylene Glycol, 1,2-Hexanediol, Limonene",96.50%,"6,739"
Beauty of Joseon,Beauty of Joseon - Dynasty Cream Jumbo,US$ 30.60,"Enriched with Korean ginseng and orchid extract, this cream helps improve wrinkles while moisturizing and brightening skin.","Water, Oryza Sativa (Rice) Bran Water, Glycerin, Panax Ginseng Root Water, Hydrogenated Polydecene, 1,2-Hexanediol, Niacinamide, Squalane, Butylene Glycol, Propanediol, Dicaprylate/Dicaprate, Cetearyl Olivate, Sorbitan Olivate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Carthamus Tinctorius (Safflower) Seed Oil, Hydrogenated Coconut Oil, Glyceryl Acrylate/Acrylic Acid Copolymer, Ethylhexylglycerin, Adenosine, Caprylic/Capric Triglyceride, Disodium EDTA, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Honey Extract, Ceramide NP, Hydrogenated Lecithin, Coptis Japonica Root Extract, Raphanus Sativus (Radish) Seed Extract, Lycium Chinense Fruit Extract, Theobroma Cacao (Cocoa) Seed Extract, Phellinus Linteus Extract, Dextrin, Scutellaria Baicalensis Root Extract",97%,354
numbuzin,numbuzin - No.1 Pure-Full Calming Herb Toner,US$ 19.20,"Calm your skin with this toner formulated with heartleaf extract, cica extract and licorice root extract to soothe irritation and reduce redness. Enriched with herb ingredients like hyacinth extract and polygonum multiflorum extract to purify and hydrate skin. Recommended for sensitive and acne-prone skin.","Centella Asiatica Extract, Houttuynia Cordata Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, 1,2-Hexanediol, Dipropylene Glycol, Propanediol, Butylene Glycol, Glycerin, Hyacinthus Orientalis (Hyacinth) Extract, Polygonum Multiflorum Extract, Carbomer, Hydroxyethylcellulose, Arginine, Allantoin, Disodium EDTA, Nymphaea Alba Flower Extract, Betaine, Panthenol",96.20%,"1,231"
VT,VT - PDRN Essence 100,US$ 38.88,"Achieve a radiant glow with this powerful firming essence packed with 100,000ppm of low-molecular ginseng-derived PDRN. The vegan essence is also enriched with five types of ceramides, polyglucuronic acid, panthenol, squalane and allantoin for deep soothing and hydration.","Water, Isopropyl Myristate, Panax Ginseng Root Extract, Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Glycerin, Propanediol, Niacinamide, Polyglyceryl-2 Dipolyhydroxystearate, PEG-30 Dipolyhydroxystearate, Polyglyceryl-3 Diisostearate, 1,2-Hexanediol, Tocopherol, Hydroxyacetophenone, Helianthus Annuus (Sunflower) Seed Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Adenosine, Ceramide NP, Adansonia Digitata Seed Oil, Disodium EDTA, Hydrogenated Lecithin, Allantoin, Squalane, Panthenol, Polyglucuronic Acid, Ceramide NS, Ceramide AS, Ceramide EOP, Ceramide AP, Sodium DNA",97.20%,199
Dr. Althea,Dr. Althea - 345 Relief Cream,US$ 24.30,"Shield your skin from environmental damage with this antioxidant-rich cream featuring resveratrol, turmeric extract and Vitamin E. Adenosine and niacinamide provide anti-aging and brightening effects. It contains nourishing and soothing ingredients including heartleaf extract and evening primrose flower extract. Fragrance-free formula is gentle on skin.",,,"4,226"
APLB,APLB - Glutathione Niacinamide Sheet Mask,US$ 0.99,"Perk up dull skin instantly with this sheet mask drenched in essence containing 1,000ppm of glutathione and 1,000ppm of niacinamide for a powerful radiance boost. The formula contains 13.5% cica extract to tamp down irritation. The cellulose mask sheet adheres firmly to enable swift delivery of active ingredients into skin. Suitable for sensitive skin.","Water, Centella Asiatica Extract (13.5%), Butylene Glycol, Dipropylene Glycol, Nelumbo Nucifera Extract, Artemisia Annua Extract, Oryza Sativa (Rice) Extract, Saccharomyces Ferment, Niacinamide (1,000ppm), Glutathione (1,000ppm), Solanum Melongena (Eggplant) Fruit Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Hydrolyzed Collagen, Beta-Glucan, Hippophae Rhamnoides Fruit Extract, Sodium Hyaluronate, Madecassic Acid, Asiaticoside, Asiatic Acid, Squalane, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Glyceryl Stearate, Cholesterol, Propanediol, Disodium EDTA, Glyceryl Acrylate/Acrylic Acid Copolymer, Cellulose Gum, Xanthan Gum, Inulin, Cellulose, Glucose, Fructose, Polyglucuronic Acid, Hydroxyethyl Urea, Ethylhexylglycerin, Hydroxyacetophenone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Dipotassium Glycyrrhizate, 1,2-Hexanediol, Carbomer, Arginine",98%,"2,978"
Anua,Anua - Niacinamide 10 TXA 4 Serum,US$ 15.20,"Tackle hyperpigmentation with this serum formulated with 10% niacinamide and 4% tranexamic acid to fade dark spots and acne scars. It contains alpha-arbutin to brighten and even skin tone, as well as hyaluronic acid and botanical oils to moisturize and soothe skin.",,95.70%,"5,543"
SKIN 1004,SKIN 1004 - Madagascar Centella Tone Brightening Capsule Ampoule Jumbo,US$ 16.61,"Improve dull and tired skin with this lightweight yet powerful toner infused with MadeWhite™, an ingredient made of Madagascan cica extracts and niacinamide for brightening, hydration and skin-soothing benefits. Additional ingredients of papaya and apple extracts provide gentle exfoliation to reveal smooth, supple and even-toned skin.","Water, Butylene Glycol, Niacinamide, Glycerin, Tranexamic Acid, 1,2-Hexanediol, Betaine, Centella Asiatica Extract, Zea Mays (Corn) Starch, Xanthan Gum, Microcrystalline Cellulose, Mannitol, Panthenol, Pentylene Glycol, Ethylhexylglycerin, Hydroxyethylcellulose, Madecassoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Hydrogenated Lecithin, Xylitylglucoside, Anhydroxylitol, Xylitol, Glucose, 3-O-Ethyl Ascorbic Acid, Lactobacillus Ferment",98.10%,"5,883"
medicube,medicube - PDRN Pink Collagen Gel Mask,US$ 4.50,"Collagen gel mask packed with elasticity-boosting ingredients such as Salmon PDRN, hydrolyzed collagen and peptides reduce fine lines and wrinkles and smooth skin texture. The gel mask’s soft gel texture tightly hugs the face while delivering hydrating and cooling effects. This product is hypoallergenic and safe to use on sensitive skin.","Water, Glycerin, Methylpropanediol, Acrylates/Ethylhexyl Acrylate Copolymer, Niacinamide, Chondrus Crispus Powder, 1,2-Hexanediol, Butylene Glycol, Betaine, Ceratonia Siliqua (Carob) Gum, Hydroxyacetophenone, Allantoin, Glucomannan, Xanthan Gum, Laureth-21, Panthenol, Polyglyceryl-10 Laurate, Propanediol, Cellulose Gum, Cyamopsis Tetragonoloba (Guar) Gum, Fragrance(Parfum), Potassium Chloride, Dextrin, Adenosine, Ethylhexylglycerin, Hydrolyzed Collagen, Cyanocobalamin, Ascorbic Acid, Sodium DNA, Tocopherol, Acetyl Hexapeptide-8, Ascorbic Acid Polypeptide, Acetyl Octapeptide-3, Acetyl Tetrapeptide-2, Acetyl Tetrapeptide-3, Acetyl Tetrapeptide-5, Acetyl Tetrapeptide-9, Carnosine, Copper Tripeptide-1, Nonapeptide-1, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5",96%,262
Beauty of Joseon,Beauty of Joseon - Revive Eye Serum,US$ 15.30,Improve wrinkles around the sensitive eye area with this nourishing eye serum. It's formulated with retinol liposome to enhance skin elasticity and ginseng root extract to boost hydration. Non-sticky formula glides on smoothly and is absorbed quickly into skin.,"Water, Panax Ginseng Root Extract, Glycerin, Dipropylene Glycol, Caprylic/Capric Triglyceride, 1,2-Hexanediol, Pentaerythrityl Tetraethylhexanoate, Niacinamide, Butylene Glycol Dicaprylate/Dicaprate, Cetearyl Alcohol, Sorbitan Olivate, Cetearyl Olivate, Butylene Glycol, Hydrogenated Lecithin, Tromethamine, Carbomer, Glyceryl Stearate, Macadamia Ternifolia Seed Oil, Ethylhexylglycerin, Adenosine, Theobroma Cacao (Cocoa) Extract, Dextrin, Cholesterol, Polyglyceryl-10 Oleate, Disodum EDTA, Retinal, Brassica Campestris (Rapeseed) Sterols, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Silica, Sodium Hyaluronate, Tocopherol, Aluminum/Magnesium Hydroxide Stearate, Potassium Cetyl Phosphate, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Ceramide NP, Palmitoyl Tripeptide-5",97%,"8,702"
Purito SEOUL,Purito SEOUL - Mighty Bamboo Panthenol Cream,US$ 16.10,"Repair a damaged skin barrier with this rich cream infused with Korean Damyang bamboo extract and 100,000ppm of soothing panthenol. The cream also contains hydrating ingredients such as squalane and sodium hyaluronate to boost skin moisture levels. Fragrance-free and hypoallergenic formula is suitable for all skin types including sensitive skin.","Water, Panthenol, Squalane, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Bambusa Vulgaris Extract, Hydrolyzed Jojoba Esters, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydroxyacetophenone, Tromethamine, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Xanthan Gum, Disodium EDTA, Sodium Hyaluronate, Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid, Copper Tripeptide-1",96.30%,"3,879"
KSECRET,KSECRET - SEOUL 1988 Serum : Retinal Liposome 2% + Black Ginseng,US$ 15.40,"Perfect for mature skin, this serum helps reduce signs of aging and improve skin elasticity. The anti-aging serum is enriched with 2% retinal liposome to combat wrinkles and pigmentation, as well as 58% black ginseng extract for antioxidant, anti-inflammatory and collagen-boosting properties.","Panax Ginseng Root Extract, Water, Glycerin, Dipropylene Glycol, Caprylic/ Capric Triglyceride, 1,2-Hexanediol, Niacinamide, Butylene Glycol, Methyl Gluceth-20, Polyglyce- ryl-3 Methylglucose Distearate, Hydrogenated Lecithin, Sorbitan Stearate, Ammonium Acryloyl- dimethyltaurate/VP Copolymer, Macadamia Ternifolia Seed Oil, Carbomer, Tromethamine, Betaine, Tocopherol, Ethylhexylglycerin, Helian- thus Annuus (Sunflower) Seed Oil, Adenosine, Disodium EDTA, Cholesterol, Polyglyceryl-10 Oleate, Brassica Campestris (Rapeseed) Sterols, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Retinal, Silica, Aluminum/Magnesium Hydroxide Stearate, Potassium Cetyl Phosphate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhy- drocinnamate, Arctium Lappa Root Extract, Cnidium Officinale Root Extract, Dioscorea Japonica Root Extract, Paeonia Suffruticosa Root Extract, Rehmannia Chinensis Root Extract, 3-0-Ethyl Ascorbic Acid, Bakuchiol, SH-Oligopep- tide-1, SH-Oligopeptide-2, SH-Polypeptide-1",98.30%,"1,490"
Anua,Anua - Azelaic Acid 10 Hyaluron Redness Soothing Serum,US$ 19.20,"This lightweight serum treats skin concerns like acne and rosacea, thanks to its formula rich in calming ingredients such as azelaic acid, panthenol, aloe juice, and centella extract. Niacinamide in the mix helps fade hyperpigmentation, while hyaluronic acid delivers long-lasting hydration.","Water, Azelaic Acid, Propylene Glycol, Sodium Hydroxide, Dipropylene Glycol, 1,2-Hexanediol, Panthenol, Hydroxyethylcellulose, Betaine Salicylate, Glycerin, Biosaccharide Gum-1, Ethylhexylglycerin, Allantoin, Dipotassium Glycyrrhizate, Melia Azadirachta Leaf Extract, Camellia Sinensis Leaf Water, Sodium Hyaluronate, Melia Azadirachta Flower Extract, Niacinamide, Aloe Barbadensis Leaf Juice, Beta-Glucan, Centella Asiatica Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid, Squalane Zinc Pca, Butylene Glycol, Pentylene Glycol, Caprylyl/Capryl Glucoside, Hydrogenated Lecithin, Ceramide NP",95.70%,208
I'm from,I'm from - Rice Toner,US$ 19.60,"Packed with goami rice extracts, this hydrating toner provides anti-wrinkle and brightening care while delivering moisturizing benefits. Other key ingredients include rice bran extract, amaranthus caudatus seed extract and portulaca oleracea extract, which provide nourishing and soothing effects. Formula treats skin concerns such as dry or fatigued skin as well as aging skin with fine lines. Suitable for various skin types including sensitive skin.","Oryza Sativa (Rice) Extract (77.78%), Methylpropanediol, Triethylhexanoin, Hydrogenated Poly(C6-14 Olefin), Niacinamide, Pentylene Glycol, Portulaca Oleracea Extract, Oryza Sativa (Rice) Bran Extract, Ulmus Davidiana Root Extract, Amaranthus Caudatus Seed Extract, Hydrogenated Lecithin, Water, Polyglyceryl-10 Myristate, Butylene Glycol, Adenosine, Cellulose Gum, Ethylhexylglycerin, 1,2-Hexanediol",96.80%,"10,342"
medicube,medicube - Zero Pore Pad 2.0,US$ 18.20,"Achieve blemish-free skin with these toner pads formulated with AHA and BHA to gently slough away dead skin cells and purify pores for a smooth finish. Chock-full of plant extracts and natural oils, the formula offers gentle exfoliation while keeping skin moisturized and soothed.","Water, Methylpropanediol, Tromethamine, Lactic Acid, Alcohol Denat., 1,2-Hexanediol, Panthenol, Glycereth-26, Salicylic Acid, Ammonium Acryloyldimethyltaurate/VP Copolymer, Betaine, Trehalose, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Glycerin, Allantoin, Polyglyceryl-10 Myristate, Disodium EDTA, Butylene Glycol, Sodium Hyaluronate, Betaine Salicylate, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Eucalyptus Globulus Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Vitis Vinifera (Grape) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Ethyl Hexanediol, Centella Asiatica Extract, Salix Alba (Willow) Bark Extract, Origanum Vulgare Leaf Extract, Chamaecyparis Obtusa Leaf Extract, Lactobacillus/Soybean Ferment Extract, Cinnamomum Cassia Bark Extract, Scutellaria Baicalensis Root Extract, Portulaca Oleracea Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Pueraria Lobata Root Extract, Limonene",96%,"1,652"
COSRX,COSRX - Advanced Snail 96 Mucin Power Essence,US$ 17.50,"Containing as much as 96% snail secretion filtrate, the advanced snail mucin essence from Korean beauty favorite COSRX adds intense moisture to hydrate skin while helping to repair damaged skin, reduce redness, and improve skin texture and pigmentation. A popular ingredient in any Korean skin care routine, snail slime is known to benefit aging skin and soften the appearance of fine lines. Its moisturizing and healing properties also make it great to use in combination with retinol or Vitamin C serums. Other key ingredients in this COSRX snail essence include sodium hyaluronate, allantoin, panthenol and arginine, which provide additional hydrating and elasticity-enhancing effects. Suitable for various skin types, including normal skin, oily skin and sensitive skin.","Snail Secretion Filtrate, Betaine, Butylene Glycol, 1,2-Hexanediol, Sodium Polyacrylate, Phenoxyethanol, Sodium Hyaluronate, Allantoin, Ethyl Hexanediol, Carbomer, Panthenol, Arginine",96.50%,"25,916"
Biodance,Biodance - Bio Collagen - Real Deep Mask Set,US$ 19.00,"This Korean collagen mask offers firming, moisturizing and brightening effects. It’s formulated with a blend of low-molecular collagen peptides, oligo hyaluronic acid and galatactomyces ferment filtrate that deeply hydrates and nourishes skin while promoting youthful-looking skin. The hydrogel material adheres well to face for deep delivery of skin care ingredients, while promoting a fuss-free experience. To use, apply at the end of skin care routine and leave on overnight to remove the next morning.","Water, Collagen Extract, Galactomyces Ferment Filtrate, Glycerine, Acrylates Copolymer, Niacinamide, Ceratonia Siliqua (Carob) Gum, Chondrus Crispus Extract, Betaine, Algin, Dipropylene Glycol, Agar, Hydroxyacetophenone, 1,2-Hexanediol, Potassium Chloride, Polyglyceryl-10 Laurate, Caprylyl Glycol, Sucrose, Butylene Glycol, Allantoin, Ethylhexylglycerin, Hydrolyzed Hyaluronic Acid, Adenosine, Disodium EDTA, Pyrus Communis (Pear) Fruit Extract, Rosa Damascena Flower Water, Iris Florentina Root Extract, Cucumis Melo (Melon) Fruit Extract, Hedera Helix (Ivy) Leaf/Stem Extract, Dipotassium Glycyrrhizate, Bifida Ferment Filtrate, Tocopherol, Lactobacillus Ferment, Lactobacillus Ferment Lysate",96.80%,561
medicube,medicube - Deep Vita C Capsule Cream,US$ 20.50,"This brightening cream packed with 500,000ppm of vitamin tree as well as Vitamin C capsules and five Vitamin C derivatives deliver major glow while firming, hydrating and refining skin. The gentle yet potent formula is dermatologically tested to be suitable for sensitive skin.","Hippophae Rhamnoides Water, Butylene Glycol, 1,2-Hexanediol, Glycerin, Water, Niacinamide, Methylpropanediol, Propanediol, Dipropylene Glycol, Caprylic/Capric Triglyceride, Glycereth-26, Ethylhexyl Palmitate, Cetearyl Alcohol, Arginine, Cetearyl Olivate, Sorbitan Olivate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Helianthus Annuus (Sunflower) Seed Oil, Glycine Soja (Soybean) Oil, Bixa Orellana Seed Oil, Tocopherol, Polyglyceryl-10 Laurate, Simethicone, Carbomer, Ethylhexylglycerin, Hydrogenated Lecithin, Polyglyceryl-10 Stearate, Panthenol, Sodium Ascorbyl Phosphate, Folic Acid, Pyridoxine, Biotin, Cyanocobalamin, Thiamine HCl, Beta-Carotene, Riboflavin, Linoleic Acid, Polyacrylate-13, Polyisobutene, Polysorbate 20, Sorbitan Isostearate, Adenosine, Fragrance, Disodium EDTA, Glyceryl Stearate, Hydrolyzed Sclerotium Gum, Gluconolactone, Sodium Hyaluronate, Ascorbyl Propyl Hyaluronate, Alpha-Arbutin, Pentylene Glycol, Hydroxyphenyl Propamidobenzoic Acid, Ascorbyl Palmitate, Ubiquinone, Ferulic acid, 3-O-Ethyl Ascorbic Acid, Ascorbyl Glucoside, Rutin, Hydroxycinnamic Acid, Bisabolol , Ascorbic Acid",96%,458
medicube,medicube - Collagen Jelly Cream,US$ 22.50,"Reverse signs of aging with this gel cream amped up with collagen and elastin to improve skin elasticity and reduce wrinkles. Niacinamide and blueberry extract help promote a brighter complexion, while hyaluronic acid and squalane strengthen the skin’s moisture barrier. Formulated without artificial colorants, the cream’s pink hue comes from various vitamin-rich ingredients.","Water, Propanediol, Dipropylene Glycol, Butylene Glycol, Methylpropanediol, Diethoxyethyl Succinate, Ethoxydiglycol, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Niacinamide, Trehalose, 1,2-Hexanediol, Chlorella Vulgaris Extract, Collagen, Hydrolyzed Collagen, Cynanchum Atratum Extract, Althaea Rosea Flower Extract, Soluble Collagen, Allium Sativum (Garlic) Bulb Extract, Avena Sativa (Oat) Kernel Extract, Bertholletia Excelsa Seed Extract, Brassica Oleracea Italica (Broccoli) Extract, Camellia Sinensis Seed Extract, Salmon Egg Extract, Solanum Lycopersicum (Tomato) Fruit Extract, Spinacia Oleracea (Spinach) Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Wine Extract, Polyglyceryl-10 Isostearate, Tromethamine, Glucose, Polyglyceryl-10 Oleate, Ethylhexylglycerin, Fructooligosaccharides, Fructose, Adenosine, Sodium Phytate, Cyanocobalamin, Tocopherol, Pullulan, Glycerin, Hydroxypropyltrimonium Hyaluronate, Squalane, Soluble Proteoglycan, Hydrolyzed Elastin, Sodium DNA, Carbomer, Xanthan Gum, Fragrance(Parfum)",96%,"1,681"
LANEIGE,LANEIGE - Lip Sleeping Mask EX Mini,US$ 5.32,"Wake up to smooth, plumped-up lips with this lip sleeping mask infused with Berry Mix Complex and hyaluronic acid for firming, hydrating and nourishing effects. To use, apply onto lips before bedtime. This product is mini-sized.","Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated C6-14 Olefin Polymers, Polybutene, Microcrystalline Wax, Shea Butter, Synthetic Wax, Ethylene/Propylene/Styrene Copolymer, Sucrose Tetrastearate Triacetate, Mica, Euphorbia Cerifera (Candelilla) Wax, Candelilla Wax Esters, Astrocaryum Murumuru Seed Butter, Titanium Dioxide (CI 77891), Fragrance, Glyceryl Caprylate, Polyglyceryl-2 Diisostearate, Butylene/Ethylene/Styrene Copolymer, Copernicia Cerifera (Carnauba) Wax, Methicone, Polyglyceryl-2 Triisostearate, Cocos Nucifera (Coconut) Oil, Sunset Yellow FCF, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Lithol Rubine B, Ascorbic Acid, Purified Water, Glycerin, Propanediol, BHT, Punica Granatum Fruit Juice, Rubus Idaeus (Raspberry) Juice, Vitis Vinifera (Grape) Juice",96.60%,"12,412"
SKIN 1004,SKIN 1004 - Madagascar Centella Probio-Cica Bakuchiol Eye Cream,US$ 10.71,"This eye cream is formulated with bakuchiol to restore firmness in the delicate skin around the eyes. It features hyaluronic acid to deliver moisture, as well as ceramide NP, panthenol and niacinamide to target dark circles, fine lines and wrinkles.","Centella Asiatica Extract, Glycerin, Butylene Glycol, Dipentaerythrityl Hexa C5-9 Acid Esters, 1,2-Hexanediol, Niacinamide, Squalane, Water, Polyglyceryl-3 Distearate, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Betaine, Butyrospermum Parkii (Shea) Butter, Heptyl Undecylenate, Lactobacillus/Centella Asiatica Extract Ferment Filtrate, Glyceryl Stearate, Bakuchiol, Panthenol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Palmitic Acid, Tromethamine, Stearic Acid, Glyceryl Stearate Citrate, Carbomer, Ethylhexylglycerin, Adenosine, Macadamia Ternifolia Seed Oil, Sodium Phytate, Sodium Hyaluronate, Hydrogenated Lecithin, Ceramide NP, Glyceryl Acrylate/Acrylic Acid Copolymer, Dextrin, Theobroma Cacao (Cocoa) Extract, Polyglyceryl-10 Myristate, Phytosphingosine, Madecassic Acid, Asiaticoside, Hydrolyzed Extensin, Sucrose Distearate, Asiatic Acid, Lauric Acid, Phytosterols, Hydrolyzed Hyaluronic Acid, Caprylyl Glycol, Acetyl Hexapeptide-8",98.10%,"4,200"
